1. 	aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	http://legacy.aistconf.org/stuff/aist2012.pdf
7	dialogue_2008_1a8f4e0fad2e4388b2aa60abb8a455f8fbd3a6d2	ru	0.9825832843780518	http://www.dialog-21.ru/media/1725/4.pdf
8	dialogue_2004_62816f1e3bc14e96d08723a76d3bb824ba9406c0	ru	0.9823095798492432	http://www.dialog-21.ru/media/2526/kobritsov.pdf
9	dialogue_2009_c0ed689f47986bb006197674999244bed4e311b8	ru	0.982242226600647	http://www.dialog-21.ru/media/1607/57.pdf
10	dialogue_2010_9e64e5d6f4950200924caf0f8a9cc765b35a425c	ru	0.9820128679275513	http://www.dialog-21.ru/media/1704/79.pdf

12. 	dialogue_2019_4a5c4385216b2220faf8860da8101e1c3744c9ca	ru	http://www.dialog-21.ru/media/4582/apresjanvju-066.pdf
1	dialogue_2018_c8e13efcc7fcc866f619d3f5f6d3cbedff02126d	ru	0.9897276163101196	http://www.dialog-21.ru/media/4337/tiskindb.pdf
2	dialogue_2018_0eb84d5355d2391499df211f5922f3135d5592ee	ru	0.9893402457237244	http://www.dialog-21.ru/media/4285/apresyanvju.pdf
3	dialogue_2019_3824adc497a9eb6d964638500081edef76c643f2	ru	0.9892139434814453	http://www.dialog-21.ru/media/4583/apresjanvjuplusorlovav-012.pdf
4	dialogue_2019_c0d48d7b8d531ddd59c5f5d953b0957c9fab35b3	ru	0.9885749220848083	http://www.dialog-21.ru/media/4634/tiskindb-065.pdf
5	dialogue_2019_c7586d366e9190922eff6a7a00c78406d3229232	ru	0.9883325695991516	http://www.dialog-21.ru/media/4616/mikaelianilpluszalizniakannaa-053.pdf
6	dialogue_2018_fda759598347b245640afdb20c830468273ba0ad	ru	0.9871792793273926	http://www.dialog-21.ru/media/4340/vilinbakhovael.pdf
7	dialogue_2019_f0e2520e152969eced10e85d612e59e97bb7440b	ru	0.9869160652160645	http://www.dialog-21.ru/media/4639/zalizniakannaapluspaduchevaev-038.pdf
8	dialogue_2018_0937452382ad2a1dcb6a58de9fb087e961d79f00	ru	0.9863958954811096	http://www.dialog-21.ru/media/4300/inkovaoyu_nurievv.pdf
9	dialogue_2019_6950c7c7ff7613ae643005c50f4caa7ae5fbdbee	ru	0.9862439632415771	http://www.dialog-21.ru/media/4611/levontinaibpluspolinskyms-029.pdf
10	dialogue_2018_e12b6c4384ff5cb32b0fb1fddb03f06a12ccc67e	ru	0.9859423041343689	http://www.dialog-21.ru/media/4342/zalizniakannaa.pdf

13. 	dialogue_2006_b8c6726eb307e468087cc332646b274ed4c821bc	ru	http://www.dialog-21.ru/media/1954/iomdinb.pdf
1	dialogue_2017_093856064e8b96038bbdbb6c563857b1fc90d8eb	ru	0.9936065077781677	http://www.dialog-21.ru/media/3941/rakhilinaev.pdf
2	dialogue_2013_9dbe16ce07df4823e232657f0c2b12df14673302	ru	0.9920273423194885	http://www.dialog-21.ru/media/1274/paduchevaev.pdf
3	dialogue_2013_e6c52c7d663c96991a5741dcd4a8bf55d9566332	ru	0.9918590784072876	http://www.dialog-21.ru/media/1228/bogdanova-beglariannv.pdf
4	dialogue_2010_4e4dd4872db304cd22cbf5e6c284a9d747c419c9	ru	0.9915837049484253	http://www.dialog-21.ru/media/1669/44.pdf
5	dialogue_2010_c252069136aa7bb3b8769e50b37854e9229df599	ru	0.9912955164909363	http://www.dialog-21.ru/media/1490/15.pdf
6	dialogue_2003_b15d8a34feb81d5e4d2de488a3799cb0befc2219	ru	0.9907907247543335	http://www.dialog-21.ru/media/2638/jarin.pdf
7	dialogue_2007_2faf734ef7966d36d16044554bbd435373e13861	ru	0.9906872510910034	http://www.dialog-21.ru/media/1843/22.pdf
8	dialogue_2011_f78ff140eb114fae7ac137e6ad6341e82fde816a	ru	0.9906597137451172	http://www.dialog-21.ru/media/1442/41.pdf
